1180	318	13	85	0	1	13	14	0	0.5	
1186	345	13	82	0	15	47	48	0	0.7	a
1190	589	13	85	0	114	146	147	0	0.2	a
1225	328	22	75	0	14	46	47	0	0.2	
1225	108	10	102	0	38	70	36	0	0.2	d
1227	448	15	90	0	3	35	1	0	0.2	
1238	867	20	74	0	96	128	129	0	0.2	e
1242	304	12	101	0	4	36	2	0	0.2	
1242	347	10	97	0	246	278	279	0	0.2	a
1242	407	13	83	0	282	314	315	0	0.2	a 0
1255	1095	44	62	0	75	107	73	0	0.4	a
1255	482	18	102	0	84	116	83	0	0.2	b
1279	100	11	93	0	52	84	1	0	0.1	0
1279	660	31	120	0	222	254	220	0	0.2	a
1282	90	15	93	0	54	86	52	0	0.2	0
1282	684	36	71	0	317	349	316	0	0.1	a
1290	710	45	77	0	266	298	264	0	0.2	0
1305	936	21	95	0	77	109	75	0	0.2	0
1305	1000	21	94	0	116	148	114	0	0.2	0
1305	441	13	93	0	39	71	36	0	0.5	b
1305	650	19	89	0	159	191	158	0	0.2	b
1305	760	22	93	0	198	230	197	0	0.2	b
1311	120	11	93	0	3	35	1	0	0.2	0
1311	187	11	88	0	37	69	70	0	0.2	0
1311	332	11	101	0	41	73	39	0	0.2	a
1311	333	11	106	0	76	108	75	0	0.2	a
1311	404	13	106	0	170	202	168	0	0.2	a
1311	405	13	85	0	243	275	241	0	0.2	a
1311	406	15	106	0	427	459	425	0	0.2	a
1327	368	15	91	0	168	200	165	0	0.2	a
1327	130	21	86	0	96	128	94	0	0.2	b
1327	46	10	87	0	320	352	353	0	0.2	b
1327	170	15	100	0	490	522	489	0	0.2	b
1327	211	16	105	0	652	684	685	0	0.2	b
1331	100	28	65	0	70	102	103	0	0.2	0
1331	202	19	92	0	209	241	242	0	0.2	a
1331	240	19	96	0	279	311	312	0	0.2	a
1336	212	22	84	0	207	239	205	0	0.2	c
1336	633	18	55	0	448	480	442	0	0.2	c
1338	817	25	85	0	1	33	34	0	0.2	0
1338	192	20	106	0	59	91	92	0	0.2	b
1356	208	21	75	0	38	70	72	0	0.2	a
1381	285	17	80	0	68	100	101	0	0.2	0
1381	649	23	82	0	315	347	348	0	0.2	0
1381	237	14	96	0	554	586	238	0	0.2	b
1381	399	30	82	0	81	113	79	0	0.2	c
1382	52	14	85	0	1	33	34	0	0.2	c
1382	157	21	65	0	1	12	13	0	0.2	c
1385	91	14	80	0	51	83	84	0	0.2	0
1385	580	25	65	0	142	153	154	0	0.2	a
1422	330	12	85	0	37	48	50	0	0.2	0
